"TableInfos"
"ID";"Title";"ShortTitle";"Identifier";"Summary";"Modified";"ReasonDelivery";"ExplanatoryText";"Language";"Catalog";"Frequency";"Period";"ShortDescription";"Description";"DefaultPresentation";"DefaultSelection";"GraphTypes";"OutputStatus";"Source";"MetaDataModified";"SearchPriority"
"0";"Education; education expenditure and CBS/OECD indicators";"Education expenditure and indicators";"80393eng";"Education expenditure and (inter)national indicators. 
Government, households, companies, foreign, per education sector, % GDP.";"2020-01-30T02:00:00";"Redesign";"The underlying codings of the 'Education sectors' classifications used in this table have been adjusted.
These are now in line with the standard codes established by Statistics Netherlands.
The data in the table has not been adjusted.
";"en";"CBS";"Yearly";"1995 - 2018";"
This table gives an overview of expenditure on regular education within the Netherlands. 

The government finances schools, colleges and universities. It pays for research which is done by universities on its behalf. Furthermore it provides student grants and loans, allowances for school costs, provisions for students with a disability and child care allowances as well as subsidies to companies and non-profit organisations. The government reclaims unjustified payments for student grants and loans and allowances for school costs. It also receives interest and repayments on student loans as well as EU subsidies for education. 

Parents and/or students have to pay tuition fees for schools, colleges and universities, parent contributions and contributions for school activities. They also have to purchase books and materials, pay for transport from home to school and back for students who are not eligible for subsidised transport, pay for private tutoring, pay interest and repayments on student loans, and repay wrongfully received student grants, loans and allowances for school costs. Parents and/or students receive child care allowances, provisions for students with a disability and an allowance for school costs as well as student grants and loans and scholarships of companies.

Companies and non-profit organisations incur costs for supervising trainees and apprentices who combine learning with work experience. They also contribute to the cost of work related education of their employees and spend money on research that is outsourced to colleges for higher professional education and universities. Furthermore they contribute to the childcare allowances given to households and provide scholarships to students. Companies receive subsidies and tax benefits for the creation of apprenticeship places and trainee placements and for providing transport for pupils.

Organisations abroad contract universities in the Netherlands to undertake research for them. The European Union provides funds and subsidies for education to schools, colleges and universities as well as to the Dutch government. Foreign governments contribute to international schools in the Netherlands that operate under their nationality.

The table also contains various indicators used nationally and internationally to compare expenditure on education and place it in a broader context. The indicators are compounded on the basis of definitions of Statistics Netherlands and/or the OECD (Organisation for Economic Cooperation and Development). All figures presented have been calculated according to the standardised definitions of the OECD.

In this table tertiary education includes research and development, except for the indicator Expenditure on education institutions per student, excluding R&D.

The statistic on Education spending is compiled on a cash basis. This means that the education expenditure and revenues are allocated to the year in which they are paid out or received. However, the activity or transaction associated with the payment or receipt can take place in a different year.

Statistics Netherlands published the revised National Accounts in June 2018. Among other things, GDP and total government expenditures have been adjusted upwards as a result of the revision.

Data available from: 1995

Status of the figures:
Data recorded in the last available year are provisional figures.

Changes as of 30 January 2020:
The underlying codings of the 'Education sectors' classifications used in this table have been adjusted.
These are now in line with the standard codes established by Statistics Netherlands.
The data in the table has not been adjusted.

Changes as of 19 December 2019:
The provisional figures for 2018 have been added, the figures for 2017 have been adjusted from provisional to definite.

When will new figures be published?
Provisional figures for a year are published in November/December of the following year.
These figures are provisional because some sources of data are not yet available or complete. The provisional figures are updated when more reliable sources are available. Definite figures are published exactly one year after the provisional ones.
";"CONTENTS

1. General information
2. Definitions and explanation of symbols
3. Links to relevant tables and articles
4. Sources and methods
5. Further information

1. GENERAL INFORMATION

This table gives an overview of expenditure on regular education within the Netherlands. 

The government finances schools, colleges and universities. It pays for research which is done by universities on its behalf. Furthermore it provides student grants and loans, allowances for school costs, provisions for students with a disability and child care allowances as well as subsidies to companies and non-profit organisations. The government reclaims unjustified payments for student grants and loans and allowances for school costs. It also receives interest and repayments on student loans as well as EU subsidies for education. 

Parents and/or students have to pay tuition fees for schools, colleges and universities, parent contributions and contributions for school activities. They also have to purchase books and materials, pay for transport from home to school and back for students who are not eligible for subsidised transport, pay for private tutoring, pay interest and repayments on student loans, and repay wrongfully received student grants, loans and allowances for school costs. Parents and/or students receive child care allowances, provisions for students with a disability and an allowance for school costs as well as student grants and loans and scholarships of companies.

Companies and non-profit organisations incur costs for supervising trainees and apprentices who combine learning with work experience. They also contribute to the cost of work related education of their employees and spend money on research that is outsourced to colleges for higher professional education and universities. Furthermore they contribute to the childcare allowances given to households and provide scholarships to students. Companies receive subsidies and tax benefits for the creation of apprenticeship places and trainee placements and for providing transport for pupils.

Organisations abroad contract universities in the Netherlands to undertake research for them. The European Union provides funds and subsidies for education to schools, colleges and universities as well as to the Dutch government. Foreign governments contribute to international schools in the Netherlands that operate under their nationality.

The table also contains various indicators used nationally and internationally to compare expenditure on education and place it in a broader context. The indicators are compounded on the basis of definitions of Statistics Netherlands and/or the OECD (Organisation for Economic Cooperation and Development). All figures presented have been calculated according to the standardised definitions of the OECD.

In this table tertiary education includes research and development, except for the indicator Expenditure on education institutions per student, excluding R&D.

The statistic on Education spending is compiled on a cash basis. This means that the education expenditure and revenues are allocated to the year in which they are paid out or received. However, the activity or transaction associated with the payment or receipt can take place in a different year.

Statistics Netherlands published the revised National Accounts in June 2018. Among other things, GDP and total government expenditures have been adjusted upwards as a result of the revision.

Data available from: 1995

Status of the figures:
Data recorded in the last available year are provisional figures.

Changes as of 30 January 2020:
The underlying codings of the 'Education sectors' classifications used in this table have been adjusted.
These are now in line with the standard codes established by Statistics Netherlands.
The data in the table has not been adjusted.

Changes as of 19 December 2019:
The provisional figures for 2018 have been added, the figures for 2017 have been adjusted from provisional to definite.

When will new figures be published?
Provisional figures for a year are published in November/December of the following year.
These figures are provisional because some sources of data are not yet available or complete. The provisional figures are updated when more reliable sources are available. Definite figures are published exactly one year after the provisional ones.

2. DEFINITIONS AND EXPLANATION OF SYMBOLS

Definition:

Regular education
Education that provides an officially recognised diploma, certificate, qualification or degree that is relevant for the labour market. This requires at least 400 hours of study, lasts at least 6 months and is not an in-company course. This education may be provided by government subsidised or private education institutions. Regular education begins at the age of 3 (pre-primary school) and may end with the highest achievable level of a master’s degree.

Explanation of symbols:

Empty cell	: figure not applicable
. 		: figure is unknown, insufficiently reliable or confidential
* 		: provisional figure
** 		: revised provisional figure

Figures are rounded off. Consequently, the sum of the detail data can deviate from the total.

3. LINKS TO RELEVANT TABLES AND ARTICLES

Relevant tables:

The figures on government expenditure  on education and student grants, loans and allowance can also be found in the table: <a href=/""/https://opendata.cbs.nl/statline/#/CBS/en/dataset/80509eng/""/>Government; expenditure on education and student grants, loans and allowance since 1900</a>.

In this table figures from National Accounts have been used: <a href=/""/https://opendata.cbs.nl/statline/#/CBS/en/dataset/84087ENG/table?dl=16835/""/>Gross Domestic Product (GDP)</a> and <a href=/""/https://opendata.cbs.nl/statline/#/CBS/en/dataset/84114ENG/table?dl=16838/""/>total government expenditure</a>. Also <a href=/""/https://opendata.cbs.nl/statline/#/CBS/en/dataset/03743eng/table?dl=1683B/""/>the population on 1 January</a> has been used.

Relevant articles:
Not applicable.

More information can be found in the theme <a href=/""/https://www.cbs.nl/en-gb/society/education/""/>Education</a>.

4. SOURCES AND METHODS

Definitions of type of education can be found under <a href=/""/https://www.cbs.nl/en-gb/our-services/methods/definitions/""/>Definitions</a>.

5. FURTHER INFORMATION

<a href='https://www.cbs.nl/en-gb/about-us/contact/infoservice'>Infoservice</a>

Copyright © Statistics Netherlands, The Hague/Heerlen.
Reproduction is permitted, provided  Statistics Netherlands is quoted as the source.";"ts=1576591204402&graphtype=Table&r=Topics&k=EducationSectors&t=Periods";"$filter=((EducationSectors eq '10') or (EducationSectors eq '20') or (EducationSectors eq '21') or (EducationSectors eq '22') or (EducationSectors eq '30') or (EducationSectors eq '31') or (EducationSectors eq '32') or (EducationSectors eq '40') or (EducationSectors eq '41') or (EducationSectors eq '42')) and ((Periods eq '2018JJ00'))&$select=EducationSectors, Periods, TotalExpenditureOnEducation_1, TotalGovernment_2, TotalOnEducationInstitutions_3, LumpSumFinancing_4, ContractResearch_5, OperatingCosts_6, TotalSubsidiesAndTaxBenefits_7, EducationComponentPreschoolDayCare_8, TransportOfPupils_9, ProvisionsForDisabledStudents_10, AllowanceForSchoolCosts_11, SupervisingCostsOfCompanies_12, StudentGrants_13, StudentLoans_14, TotalReceipts_15, EUSubsidies_16, RepaidStudentGrantsAndLoansAnd_17, InterestOnStudentLoans_18, RepaymentsOnStudentLoans_19, TotalExpenditureByHouseholds_20, TotalOnEducationInstitutions_21, TuitionFeesSubsidisedInstitutions_22, TuitionFeesPrivateInstitutions_23, ParentalContributionSchoolActivities_24, TotalOtherExpendituresOnEducation_25, EducationComponentPreschoolDayCare_26, BooksMaterialsPublicTransportAnd_27, WrongfullyReceivedStudentGrantsAnd_28, InterestOnStudentLoans_29, RepaymentsOnStudentLoans_30, TotalAllowancesReceived_31, ChildCareAllowanceEducationComponent_32, ProvisionsForDisabledStudents_33, AllowancesForSchoolCosts_34, ScholarshipsOfCompanies_35, StudentGrantsForSchoolFeesBooks_36, StudentGrantsForTheCostOfLiving_37, StudentLoans_38, TotalCompanies_39, TotalOnEducationInstitutes_40, SupervisingTraineesAndApprentices_41, TuitionFeesPrivateInstitutions_42, ContractResearch_43, TotalOtherExpenditureOnEducation_44, ChildCareAllowanceEducationComponent_45, ScholarshipsOfCompanies_46, TotalSubsidiesReceived_47, TransportOfPupils_48, SupervisingCostsOfCompanies_49, TotalForeignCountries_50, TotalOnEducationInstitutes_51, InternationalFunds_52, ContractResearch_53, EUSubsidies_54, TotalExpenditureOnEducation_55, InOfGDP_56, PerCapita_57, TotalGovernmentExpOnEducation_58, InOfGDP_59, InOfTotalGovernmentExpenditure_60, TotalOnEducationInstitutions_61, TotalInOfGDP_62, Government_63, HouseholdsCompaniesForeignCountries_64, PerStudentIncludingRD_65, PerStudentExcludingRD_66";"Table,Bar,Line";"Regular";"CBS.";"2020-01-30T02:00:00";"3"
"DataProperties"
ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default
"0";"0";;"Dimension";"EducationSectors";"Education sectors";;;;;;
"1";"1";;"TimeDimension";"Periods";"Periods";;"true";;;;
"2";;;"TopicGroup";"";"Expenditure on education";"Expenditure on education institutions and education by the government, households, companies, non-profit organisations and organisations abroad. Also includes government expenditure with regard to education on households and companies.
Income received is subtracted from this expenditure. For the government this includes reclaimed wrongfully paid student grants and loans, and allowances for school costs as well as interest received on student loans and EU subsidies for education. For households these are child care allowances, the allowances for school costs, provisions for students with a disability, scholarships of companies and part of the student grants and loans meant as an allowance for school and college fees, books and materials and public transport. For companies the compensation in the costs of supervising apprentices and trainees are subtracted from their expenditure. Except for the interest received this is done to avoid double counting, because the received income is used to cover (part of) the expenses. 
Some expenditure and receipts are not included in the calculation of the total expenditure on education. For the government these are the student loans provided and received repayments on these loans. For households these are the allowances for the cost of living, the student loans and the repayments of these loans. For companies these are the subsidies received for providing transport for pupils. Student loans and the repayments are not included because they are not considered real expenditures as they will be repaid after a given time.
The allowances for the cost of living have a general purpose rather than education and are therefore not included in the cost of education. Similarly the subsidies given to companies outside the education sector for providing transport for pupils are excluded, as they provide this service purely for commercial reasons.
";;;;;
"3";"2";"2";"Topic";"TotalExpenditureOnEducation_1";"Total expenditure on education";"Expenditure on education institutions and education by the government, households, companies, non-profit organisations and organisations abroad. Also includes government expenditure with regard to education on households and companies.
Income received is subtracted from this expenditure. For the government this includes reclaimed wrongfully paid student grants and loans, and allowances for school costs as well as interest received on student loans and EU subsidies for education. For households these are child care allowances, the allowances for school costs, provisions for students with a disability, scholarships of companies and part of the student grants and loans meant as an allowance for school and college fees, books and materials and public transport. For companies the compensation in the costs of supervising apprentices and trainees are subtracted from their expenditure. Except for the interest received this is done to avoid double counting, because the received income is used to cover (part of) the expenses. 
Some expenditure and receipts are not included in the calculation of the total expenditure on education. For the government these are the student loans provided and received repayments on these loans. For households these are the allowances for the cost of living, the student loans and the repayments of these loans. For companies these are the subsidies received for providing transport for pupils. Student loans and the repayments are not included because they are not considered real expenditures as they will be repaid after a given time.
The allowances for the cost of living have a general purpose rather than education and are therefore not included in the cost of education. Similarly the subsidies given to companies outside the education sector for providing transport for pupils are excluded, as they provide this service purely for commercial reasons.";;"Double";"million euros";"0";"Impossible"
"4";;"2";"TopicGroup";"";"Government";"Expenditure by central and local government on education institutions and education. Reclaimed wrongfully paid student grants and loans, and allowances for school costs as well as interest received on student loans and EU subsidies for education are subtracted from this expenditure. The calculation of total expenditure on education excludes student loans and the repayments on these loans.";;;;;
